encoding,depth,seed,seasonal_lag,center_fidelity,neighbor_geometric_mean_fidelity,neighbor_arithmetic_mean_fidelity,log10_seasonal_prominence,seasonal_prominence_ratio,seasonal_prominence_arithmetic_ratio
learnable_seasonal_cdf_rz,1,45,24,0.5187963739071403,0.0010068912720065583,0.0050638338342177186,2.7120143556537295,515.2456758049652,102.45130288468205
learnable_seasonal_cdf_rz,1,45,36,0.4903460299343707,0.0009383183913922992,0.004482824099845685,2.718152434659755,522.579578992141,109.38328585126732
learnable_seasonal_cdf_rz,1,46,12,0.4694639039157281,0.0016772265111238477,0.004591016413505825,2.447010487431161,279.9048910818596,102.25707373527614
learnable_seasonal_cdf_rz,1,46,24,0.4777391161786319,0.0016032652845325336,0.0042208185588012755,2.47418541286913,297.97883156805636,113.186366464971
learnable_seasonal_cdf_rz,1,46,36,0.4392032946841957,0.0012515988496823514,0.0035156941572912002,2.545200433991385,350.9137890272613,124.92647967495459
learnable_seasonal_cdf_rz,2,42,12,0.1387881461414571,0.0018929357537357517,0.0062946784874076496,1.8652165004734065,73.3189945129176,22.048488484217167
learnable_seasonal_cdf_rz,2,42,24,0.179707861367241,0.0018336284233963266,0.0065515406498822745,1.9912557434353144,98.0066948538997,27.429862832411825
learnable_seasonal_cdf_rz,2,42,36,0.0893429054453206,0.0017641460095740326,0.0063450890724561,1.7045255450168277,50.643713706493706,14.080638494604639
learnable_seasonal_cdf_rz,2,43,12,0.1114303649699865,0.0002008875139070649,0.0003374231829685693,2.7440506088078136,554.6903478607271,330.23920878716314
learnable_seasonal_cdf_rz,2,43,24,0.1823742738712381,0.00019370786629418842,0.00030320307553543586,2.973816318380663,941.4913155579457,601.4921634590205
learnable_seasonal_cdf_rz,2,43,36,0.0868166633820425,0.00019103188783575024,0.00032517869287246017,2.657497223081213,454.4616313308265,266.9814021796725
learnable_seasonal_cdf_rz,2,44,12,0.09845789137728,0.0011773749890145522,0.003955404494645225,1.9223357246183919,83.62492179291831,24.891990568997688
learnable_seasonal_cdf_rz,2,44,24,0.1452167982469582,0.001314328962906777,0.004170196446363074,2.043312778929519,110.48740638401205,34.82253177152006
learnable_seasonal_cdf_rz,2,44,36,0.0791339791195099,0.0009531754186866925,0.0035239585837660496,1.9191901701901402,83.02142246654091,22.45599011408912
learnable_seasonal_cdf_rz,2,45,12,0.0814097965335903,0.0009940696012953527,0.0024483874625307748,1.913259876067,81.89546931875473,33.250373063682126
learnable_seasonal_cdf_rz,2,45,24,0.173485797080738,0.0011612565652827185,0.003927233577557225,2.174335743464659,149.3948902140341,44.17506462364476
learnable_seasonal_cdf_rz,2,45,36,0.0723153990916513,0.0008459919259406315,0.0025220340635268,1.931864569117012,85.48001094838597,28.67344265387352
learnable_seasonal_cdf_rz,2,46,12,0.0999055040721111,0.00025776827802372515,0.0005186690725781751,2.588359945054317,387.57873869536337,192.61897297154363
