encoding,depth,seed,tau,n_pairs,mean_fidelity,std_fidelity_over_time,median_fidelity,min_fidelity,max_fidelity,mean_infidelity,mean_log_fidelity,geometric_mean_fidelity,mean_fidelity_over_haar,median_fidelity_over_haar
ry,1,44,23,82,0.0084793665672493,0.0174445197319202,0.0005533074914982,5.513622075730569e-09,0.0744526660497591,0.9915206334327504,-8.113405588995706,0.0002994971701615,138.92594183781387,9.065389940707608
ry,1,44,24,81,0.0223511628995062,0.033051095618369,0.0035188448700135,1.7589351015641162e-05,0.1081337165789924,0.977648837100494,-5.973086748537975,0.0025463692739438,366.20145294550974,57.6527543503025
ry,1,44,25,80,0.0193171116654453,0.0433169698613567,0.0002134744462357,3.126917996998422e-09,0.2020886898910524,0.9806828883345547,-8.609631203454658,0.0001823411447984,316.4915575266566,3.4975653271270173
ry,1,44,26,79,0.0014156730794629,0.0034953657202131,3.826395843953559e-06,1.2297971376319137e-12,0.0199170267911912,0.9985843269205372,-13.149536893309229,1.946384725039479e-06,23.19438773392128,0.0626916695073351
ry,1,44,27,78,0.0002397820125682,0.000908218804734,2.9646469396349957e-06,2.4333781133277057e-16,0.0056717917235648,0.9997602179874318,-15.792283742919428,1.3851548078845873e-07,3.9285884939179754,0.0485727754589797
ry,1,44,28,77,1.1468541937024304e-06,4.802638742844125e-06,4.00244394109134e-09,4.3396161441433996e-13,3.115769961212512e-05,0.9999988531458064,-19.674881418815804,2.853038076104622e-09,0.0187900591096206,6.557604153084052e-05
ry,1,44,29,76,9.840684227398845e-08,4.65872025327604e-07,9.197868965249145e-10,5.859836577425136e-24,3.4253903432766487e-06,0.9999999015931578,-24.84072338033916,1.6285867962514196e-11,0.001612297703817,1.50697885126642e-05
ry,1,44,30,75,5.903271972636576e-08,3.512191948336372e-07,1.339037772621852e-11,4.15065098498332e-16,2.994705247282521e-06,0.9999999409672804,-24.43517339323765,2.4430875523889252e-11,0.0009671920799967,2.193879486663642e-07
ry,1,44,31,74,1.201123531811196e-07,5.61698334226334e-07,1.056798179022889e-09,1.0297965767461347e-14,3.468930593229962e-06,0.9999998798876468,-20.940186183376085,8.049940874045031e-10,0.0019679207945194,1.7314581365111014e-05
ry,1,44,32,73,1.880642902917104e-07,1.2912732540831937e-06,1.2712499533404964e-09,3.722976134047627e-13,1.1047137121129238e-05,0.9999998119357096,-20.44905332455673,1.3154943313799486e-09,0.0030812453321393,2.0828159235530697e-05
ry,1,44,33,72,7.089731278011303e-06,3.7304121753069073e-05,5.3410889188113374e-08,2.7183389502374963e-11,0.000273210101476,0.999992910268722,-17.048334263402253,3.94459576177748e-08,0.1161581572589371,0.000875084008458
ry,1,44,34,71,0.0009344262893171,0.0046089347085846,1.5828229490605682e-06,1.901180801292572e-11,0.0269053225052497,0.9990655737106828,-13.880233492263065,9.373271286017292e-07,15.30964032417201,0.0259329711974083
ry,1,44,35,70,0.0063890048441709,0.0127328645313078,0.000360860438011,3.303646334870005e-06,0.0524382223468387,0.993610995155829,-7.834971516755443,0.0003956535842703,104.67745536689732,5.912337416373363
ry,1,44,36,69,0.0016935913506744,0.0038845983943229,0.0001208672515443,2.5369657696618975e-07,0.0246474866844317,0.9983064086493256,-8.652954449212274,0.0001746102083479,27.74780068945029,1.9802890493024905
ry,1,44,37,68,0.0008725459258447,0.0039118295689647,3.036097135566661e-05,7.074423240590642e-09,0.0317700454591246,0.999127454074155,-10.571850312975638,2.562735267595292e-05,14.295792449040972,0.4974341546912417
ry,1,44,38,67,0.0001246609174852,0.0004039794558815,3.747443854831221e-06,1.0060000033600571e-10,0.0025835523529541,0.9998753390825148,-13.380331416772776,1.545239850266162e-06,2.042444472077536,0.0613981201175547
ry,1,44,39,66,4.055917916249711e-06,1.2871125949857808e-05,3.728558515954661e-08,4.933716730130964e-13,7.410792376386769e-05,0.9999959440820836,-17.42429060326241,2.70848690328072e-08,0.0664521591398352,0.000610887027254
ry,1,44,40,65,1.8707552171346137e-08,1.0497485540995561e-07,7.668648847195297e-12,2.959535070783673e-18,8.032021926126365e-07,0.9999999812924478,-25.35337917714946,9.75365355861801e-12,0.0003065045347753,1.2564314271244774e-07
ry,1,45,1,104,0.0227613346975401,0.0421935694173306,0.0031698079806312,7.989302158973451e-06,0.2008962826545162,0.97723866530246,-6.064310955816413,0.0023243590489581,372.9217076844981,51.9341339546617
